,grid,taxon,domin,date,site,notes,
47,J52746022,Armeria maritima,7,19/08/2022,Shamrock Mid Saltmarsh,,
48,J52746022,Plantago maritima,8,19/08/2022,Shamrock Mid Saltmarsh,,
49,J52746022,Salicornia sp.,2,19/08/2022,Shamrock Mid Saltmarsh,,
50,J52746022,Triglochin maritima,4,19/08/2022,Shamrock Mid Saltmarsh,,
51,J52746022,Limonium humile,4,19/08/2022,Shamrock Mid Saltmarsh,,
52,J52746022,Juncus gerardii,1,19/08/2022,Shamrock Mid Saltmarsh,,
53,J52746022,Aster tripolium,1,19/08/2022,Shamrock Mid Saltmarsh,,
54,J52746022,Spergularia media,1,19/08/2022,Shamrock Mid Saltmarsh,,
55,J52746022,Atriplex portulacoides,1,19/08/2022,Shamrock Mid Saltmarsh,,
56,J52706025,Spartina anglica,NA,19/08/2022,Shamrock,,
57,J52706025,?Puccinellia maritima,NA,19/08/2022,Shamrock,,
58,J52696024,Juncus maritimus,8,19/08/2022,Shamrock upper saltmarsh,,
59,J52696024,Glaux maritima,6,19/08/2022,Shamrock upper saltmarsh,,
60,J52696024,Plantago maritima,6,19/08/2022,Shamrock upper saltmarsh,,
61,J52696024,Juncus gerardii,5,19/08/2022,Shamrock upper saltmarsh,,
62,J52696024,Agrostis stolonifera,4,19/08/2022,Shamrock upper saltmarsh,,
63,J52696024,Festuca rubra,8,19/08/2022,Shamrock upper saltmarsh,,
64,J52696024,Cochlearia officinalis,1,19/08/2022,Shamrock upper saltmarsh,,
65,J52696024,Atriplex portulacoides,1,19/08/2022,Shamrock upper saltmarsh,,
66,J52696024,?yellow Asteraceae,1,19/08/2022,Shamrock upper saltmarsh,,
67,J52696024,Triglochin maritima,2,19/08/2022,Shamrock upper saltmarsh,,
68,J52756017,?yellow Asteraceae,NA,19/08/2022,Shamrock scrub,,
69,J52756017,Holcus lanatus,NA,19/08/2022,Shamrock scrub,,
70,J52756017,Trifolium repens,NA,19/08/2022,Shamrock scrub,,
71,J52756017,Viola riviniana,NA,19/08/2022,Shamrock scrub,,
72,J52756017,Stellaria graminea,NA,19/08/2022,Shamrock scrub,,
73,J52756017,Hedera helix,NA,19/08/2022,Shamrock scrub,,
74,J52756017,Rumex acetosa,NA,19/08/2022,Shamrock scrub,,
75,J52756017,Rubus fruticosus agg.,NA,19/08/2022,Shamrock scrub,,
76,J52756017,Prunus spinosa,NA,19/08/2022,Shamrock scrub,,
77,J52756017,Crataegus monogyna,NA,19/08/2022,Shamrock scrub,,
78,J52756017,Ulex europaeus,NA,19/08/2022,Shamrock scrub,,
79,J52756017,Salix sp.,NA,19/08/2022,Shamrock scrub,,
80,J52756017,Vicia cracca,NA,19/08/2022,Shamrock scrub,,
81,J52756017,Arum maculatum,NA,19/08/2022,Shamrock scrub,,
82,J52756017,Dryopteris sp.,NA,19/08/2022,Shamrock scrub,,
83,J52756017,Sambucus nigra,NA,19/08/2022,Shamrock scrub,,
84,J52756017,Ranunculus repens,NA,19/08/2022,Shamrock scrub,,
85,J52756017,Cerastium fontanum,NA,19/08/2022,Shamrock scrub,,
86,J52756017,Fraxinus excelsior,NA,19/08/2022,Shamrock,,
87,J52756017,Dactylis glomerata,NA,19/08/2022,Shamrock,,
88,J52756017,Arrhenatherum elatius,NA,19/08/2022,Shamrock,,
89,J52756017,Conopodium majus,NA,19/08/2022,Shamrock,,
90,J52756017,Plantago lanceolata,NA,19/08/2022,Shamrock,,
91,J52796015,Rumex acetosa,3,19/08/2022,Shamrock E Drumlin,,
92,J52796015,Arrhenatherum elatius,8,19/08/2022,Shamrock E Drumlin,,
93,J52796015,Lathyrus pratensis,5,19/08/2022,Shamrock E Drumlin,,
94,J52796015,?Potentilla sp.,5,19/08/2022,Shamrock E Drumlin,,
95,J52796015,Agrostis capillaris,3,19/08/2022,Shamrock E Drumlin,,
96,J52796015,Vicia cracca,2,19/08/2022,Shamrock E Drumlin,,
97,J52796015,Dactylis glomerata,3,19/08/2022,Shamrock E Drumlin,,
98,J52796015,Cirsium arvense,8,19/08/2022,Shamrock E Drumlin,,
99,J52796015,Holcus lanatus,8,19/08/2022,Shamrock E Drumlin,,
100,J52796015,Hedera helix,2,19/08/2022,Shamrock E Drumlin,,
101,J52796015,Anthoxanthum odoratum,4,19/08/2022,Shamrock E Drumlin,,
102,J52796015,Galium verum,4,19/08/2022,Shamrock E Drumlin,,
103,J52796015,Trifolium repens,2,19/08/2022,Shamrock E Drumlin,,
104,J52796015,Lotus corniculatus,1,19/08/2022,Shamrock E Drumlin,,
105,J52796015,Veronica chamaedrys,1,19/08/2022,Shamrock E Drumlin,,
106,J52796015,Stellaria graminea,1,19/08/2022,Shamrock E Drumlin,,
107,J52796015,Centaurea nigra,1,19/08/2022,Shamrock E Drumlin,,
108,J52796015,Cerastium fontanum,1,19/08/2022,Shamrock E Drumlin,,
109,J52796015,?yellow Asteraceae,1,19/08/2022,Shamrock E Drumlin,,
110,J52796015,Plantago lanceolata,1,19/08/2022,Shamrock E Drumlin,,
111,J52796015,?Poa,2,19/08/2022,Shamrock E Drumlin,,
112,J52796015,?Potentilla sp.,4,19/08/2022,Shamrock E Drumlin,,
113,J52796015,Rubus fruticosus agg.,5,19/08/2022,Shamrock E Drumlin,,
114,J52796015,?Elytrigia,1,19/08/2022,Shamrock E Drumlin,,
115,J52806016,Trifolium pratense,NA,19/08/2022,Shamrock,,
116,J52806016,Achillea millefolium,NA,19/08/2022,Shamrock,,
117,J52806016,Prunella vulgaris,NA,19/08/2022,Shamrock,,
118,J52736018,Poa annua,NA,19/08/2022,Shamrock Corral,,
119,J52736018,Jacobaea vulgaris,NA,19/08/2022,Shamrock Corral,,
120,J52736018,Vicia sepium,NA,19/08/2022,Shamrock Corral,,
121,J52736018,Galium aparine,NA,19/08/2022,Shamrock Corral,,
122,J52756016,Festuca rubra,10,19/08/2022,Shamrock fescue grassland,,
123,J52756016,Sonchus arvensis,4,19/08/2022,Shamrock fescue grassland,,
124,J52756016,Agrostis stolonifera,3,19/08/2022,Shamrock fescue grassland,,
125,J52756016,Potentilla anserina,5,19/08/2022,Shamrock fescue grassland,,
126,J52756016,?Elytrigia 2,4,19/08/2022,Shamrock fescue grassland,,
127,J52756016,Arrhenatherum elatius,2,19/08/2022,Shamrock fescue grassland,,
128,J52756016,Lathyrus pratensis,1,19/08/2022,Shamrock fescue grassland,,
129,J52756016,Trifolium repens,3,19/08/2022,Shamrock fescue grassland,,
130,J52756016,Vicia cracca,NA,19/08/2022,Shamrock fescue grassland,,
131,J52756016,Rumex crispus,NA,19/08/2022,Shamrock fescue grassland,,
132,J52746016,Atriplex portulacoides,9,19/08/2022,Shamrock Lower Saltmarsh,,
133,J52746016,Spergularia media,3,19/08/2022,Shamrock Lower Saltmarsh,,
134,J52746016,Triglochin maritima,5,19/08/2022,Shamrock Lower Saltmarsh,,
135,J52746016,?Puccinellia maritima,4,19/08/2022,Shamrock Lower Saltmarsh,,
136,J52746016,Juncus gerardii,4,19/08/2022,Shamrock Lower Saltmarsh,,
137,J52746016,Limonium humile,3,19/08/2022,Shamrock Lower Saltmarsh,,
138,J52746016,Aster tripolium,2,19/08/2022,Shamrock Lower Saltmarsh,,
139,J52746016,Plantago maritima,1,19/08/2022,Shamrock Lower Saltmarsh,,
140,J52746016,Atriplex prostrata agg.,1,19/08/2022,Shamrock Lower Saltmarsh,,
141,J52746016,?Elytrigia 2,NA,19/08/2022,Shamrock Lower Saltmarsh,,
142,J52746017,Torilis japonica,NA,19/08/2022,Shamrock,,
143,J52746017,Ranunculus acris,NA,19/08/2022,Shamrock,,
144,J52646028,Agrostis capillaris,5,19/08/2022,Shamrock NW drumlin,,
145,J52646028,?Potentilla sp.,7,19/08/2022,Shamrock NW drumlin,,
146,J52646028,Holcus lanatus,3,19/08/2022,Shamrock NW drumlin,,
147,J52646028,Carex flacca,2,19/08/2022,Shamrock NW drumlin,,
148,J52646028,Lotus corniculatus,1,19/08/2022,Shamrock NW drumlin,,
149,J52646028,Dactylis glomerata,5,19/08/2022,Shamrock NW drumlin,,
150,J52646028,Plantago lanceolata,4,19/08/2022,Shamrock NW drumlin,,
151,J52646028,Anthoxanthum odoratum,3,19/08/2022,Shamrock NW drumlin,,
152,J52646028,Centaurea nigra,2,19/08/2022,Shamrock NW drumlin,,
153,J52646028,Rumex acetosa,2,19/08/2022,Shamrock NW drumlin,,
154,J52646028,?Potentilla sp.,4,19/08/2022,Shamrock NW drumlin,,
155,J52646028,?Poa,2,19/08/2022,Shamrock NW drumlin,,
156,J52646028,Conopodium majus,NA,19/08/2022,Shamrock NW drumlin,,
157,J52646028,Trifolium repens,1,19/08/2022,Shamrock NW drumlin,,
158,J52646028,Trifolium pratense,1,19/08/2022,Shamrock NW drumlin,,
159,J52646028,Arrhenatherum elatius,8,19/08/2022,Shamrock NW drumlin,,
160,J52646028,Festuca rubra,8,19/08/2022,Shamrock NW drumlin,,
161,J52646028,Lathyrus pratensis,1,19/08/2022,Shamrock NW drumlin,,
162,J52646029,Galium verum,NA,19/08/2022,Shamrock,,
163,J52646029,Achillea millefolium,NA,19/08/2022,Shamrock,,
164,J52646029,Viola riviniana,NA,19/08/2022,Shamrock,,
165,J52646029,Vicia sepium,NA,19/08/2022,Shamrock,,
166,J52786018,Tripleurospermum maritimum,NA,19/08/2022,Shamrock Tilly's Bay,,
167,J52786018,Agrostis stolonifera,NA,19/08/2022,Shamrock Tilly's Bay,,
168,J52786018,?yellow Asteraceae,NA,19/08/2022,Shamrock Tilly's Bay,,
169,J52766019,Bellis perennis,NA,19/08/2022,Shamrock,,
170,J52716022,Juncus maritimus,7,22/08/2022,Shamrock,,
171,J52716022,Agrostis stolonifera,3,22/08/2022,Shamrock,,
172,J52716022,Potentilla anserina,5,22/08/2022,Shamrock,,
173,J52716022,Lotus corniculatus,6,22/08/2022,Shamrock,,
174,J52716022,?yellow Asteraceae,2,22/08/2022,Shamrock,,
175,J52716022,Oenanthe lachenalii,3,22/08/2022,Shamrock,,
176,J52716022,Festuca rubra,9,22/08/2022,Shamrock,,
177,J52716022,Glaux maritima,5,22/08/2022,Shamrock,,
178,J52716022,Plantago maritima,4,22/08/2022,Shamrock,,
179,J52716022,Vicia cracca,2,22/08/2022,Shamrock,,
180,J52686019,Agrostis stolonifera,8,22/08/2022,Shamrock,,
181,J52686019,Festuca rubra,8,22/08/2022,Shamrock,,
182,J52686019,Lotus corniculatus,5,22/08/2022,Shamrock,,
183,J52686019,Potentilla anserina,4,22/08/2022,Shamrock,,
184,J52686019,Sonchus arvensis,3,22/08/2022,Shamrock,,
185,J52686019,Festuca arundinacea,2,22/08/2022,Shamrock,,
186,J52686019,Oenanthe lachenalii,1,22/08/2022,Shamrock,,
187,J52666023,Festuca arundinacea,6,22/08/2022,Shamrock,,
188,J52666023,Potentilla anserina,5,22/08/2022,Shamrock,,
189,J52666023,?yellow Asteraceae,2,22/08/2022,Shamrock,,
190,J52666023,Agrostis stolonifera,5,22/08/2022,Shamrock,,
191,J52666023,Lotus corniculatus,4,22/08/2022,Shamrock,,
192,J52666023,Sonchus arvensis,4,22/08/2022,Shamrock,,
193,J52666023,Vicia cracca,3,22/08/2022,Shamrock,,
194,J52666023,Festuca rubra,8,22/08/2022,Shamrock,,
195,J52666023,Trifolium repens,2,22/08/2022,Shamrock,,
196,J52766019,Dryopteris sp.,NA,22/08/2022,Shamrock,,
197,J52736019,Plantago major,NA,22/08/2022,Shamrock,,
198,J52726019,Prunus avium,NA,22/08/2022,Shamrock,,
199,J52726019,Lonicera periclymenum,NA,22/08/2022,Shamrock,,
200,J52726019,Geranium robertianum,NA,22/08/2022,Shamrock,,
201,J52726019,Ranunculus repens,NA,22/08/2022,Shamrock,,
202,J52726019,Stellaria media,NA,22/08/2022,Shamrock,,
203,J52716019,Sorbus sp.,NA,22/08/2022,Shamrock,,
204,J52716020,Picea abies,NA,22/08/2022,Shamrock,,
205,J52726020,Hedera helix,NA,22/08/2022,Shamrock,,
206,J52726020,Arum maculatum,NA,22/08/2022,Shamrock,,
207,J52726020,Crataegus monogyna,NA,22/08/2022,Shamrock,,
208,J52726020,Torilis japonica,NA,22/08/2022,Shamrock,,
209,J52726020,Rosa sp.,NA,22/08/2022,Shamrock,,
210,J52736020,Acer pseudoplatanus,NA,22/08/2022,Shamrock,,
211,J52736020,Prunella vulgaris,NA,22/08/2022,Shamrock,,
212,J52676022,Ranunculus acris,NA,22/08/2022,Shamrock,,
213,J52666025,Trifolium pratense,NA,22/08/2022,Shamrock,,
214,J54096064,Atriplex prostrata agg.,NA,14/08/2022,Parton,,
215,J54096064,Raphanus raphanistrum subsp. maritimus,NA,14/08/2022,Parton,,
216,J54096064,Cochlearia officinalis,NA,14/08/2022,Parton,,
217,J54096064,Tripleurospermum maritimum,NA,14/08/2022,Parton,,
218,J54096064,Suaeda maritima,NA,14/08/2022,Parton,,
219,J54096064,Rumex crispus,NA,14/08/2022,Parton,,
220,J54096064,Aster tripolium,NA,14/08/2022,Parton,,
221,J54096064,Polygonum aviculare agg.,NA,14/08/2022,Parton,,
222,J54096064,Sonchus arvensis,NA,14/08/2022,Parton,,
223,J54096064,?Elytrigia,NA,14/08/2022,Parton,,
224,J54096064,Urtica dioica,NA,14/08/2022,Parton,,
225,J54096064,Holcus lanatus,NA,14/08/2022,Parton,,
226,J54096064,Arrhenatherum elatius,NA,14/08/2022,Parton,,
227,J54086060,Beta vulgaris subsp. maritima,NA,14/08/2022,Parton,,
228,J54086060,Cirsium vulgare,NA,14/08/2022,Parton,,
229,J54096060,Cirsium arvense,NA,14/08/2022,Parton,,
230,J54096060,Arum maculatum,NA,14/08/2022,Parton,,
231,J54086063,Juncus gerardii,NA,14/08/2022,Parton,,
232,J54096059,Festuca rubra,4,14/08/2022,Parton,,
233,J54096059,Arrhenatherum elatius,7,14/08/2022,Parton,,
234,J54096059,Dactylis glomerata,4,14/08/2022,Parton,,
235,J54096059,Holcus lanatus,8,14/08/2022,Parton,,
236,J54096059,Urtica dioica,3,14/08/2022,Parton,,
237,J54146056,Cirsium arvense,4,14/08/2022,Parton,,
238,J54146056,Holcus lanatus,10,14/08/2022,Parton,,
239,J54146056,Rumex acetosa,4,14/08/2022,Parton,,
240,J54146056,Ranunculus repens,6,14/08/2022,Parton,,
241,J54146056,Rumex crispus,1,14/08/2022,Parton,,
242,J54146056,Urtica dioica,1,14/08/2022,Parton,,
243,J54146056,Dactylorhiza fuchsii,3,14/08/2022,Parton,,
244,J54146056,Heracleum sphondylium,2,14/08/2022,Parton,,
245,J54146056,Arrhenatherum elatius,5,14/08/2022,Parton,,
246,J54146056,Sonchus arvensis,2,14/08/2022,Parton,,
247,J54146056,Agrostis stolonifera,2,14/08/2022,Parton,,
248,J54186058,Arrhenatherum elatius,7,14/08/2022,Parton,,
249,J54186058,?Elymus,5,14/08/2022,Parton,,
250,J54186058,Holcus lanatus,8,14/08/2022,Parton,,
251,J54186058,Heracleum sphondylium,5,14/08/2022,Parton,,
252,J54186058,Sonchus arvensis,4,14/08/2022,Parton,,
253,J54168058,Achillea millefolium,NA,14/08/2022,Parton,,
254,J54168058,Poa humilis,NA,14/08/2022,Parton,,
255,J54168058,Stellaria graminea,NA,14/08/2022,Parton,,
256,J54168058,Juncus effusus,NA,14/08/2022,Parton,,
257,J54166060,Trifolium repens,NA,14/08/2022,Parton,,
258,J54166060,Stellaria graminea,NA,14/08/2022,Parton,,
259,J54166060,Epilobium sp.,NA,14/08/2022,Parton,,
260,J54166060,Rubus fruticosus agg.,NA,14/08/2022,Parton,,
261,J54166060,Dactylorhiza fuchsii,NA,14/08/2022,Parton,,
262,J54176061,Oenanthe crocata,NA,14/08/2022,Parton,,
263,J54176061,Cerastium fontanum,NA,14/08/2022,Parton,,
264,J54166062,Ranunculus sceleratus,NA,14/08/2022,Parton,,
265,J54166062,Epilobium sp.,NA,14/08/2022,Parton,,
266,J54166062,Oxybasis rubra,NA,14/08/2022,Parton,,
267,J54166062,Juncus effusus,NA,14/08/2022,Parton,,
268,J54166062,Persicaria maculosa,NA,14/08/2022,Parton,,
269,J54166062,Sonchus arvensis,NA,14/08/2022,Parton,,
270,J54166062,Tripleurospermum maritimum,NA,14/08/2022,Parton,,
271,J54156063,Potentilla anserina,NA,14/08/2022,Parton,,
272,J54156063,Persicaria maculosa,NA,14/08/2022,Parton,,
273,J54156063,Dactylorhiza fuchsii,NA,14/08/2022,Parton,,
274,J54156063,Oenanthe crocata,NA,14/08/2022,Parton,,
275,J54156063,Agrostis stolonifera,NA,14/08/2022,Parton,,
276,J54146061,Sambucus nigra,NA,14/08/2022,Parton,,
277,J54146061,Rumex obtusifolius,NA,14/08/2022,Parton,,
278,J54146061,Cirsium arvense,NA,14/08/2022,Parton,,
279,J54146061,Rubus fruticosus agg.,NA,14/08/2022,Parton,,
280,J54146061,Sonchus arvensis,NA,14/08/2022,Parton,,
281,J54146061,Holcus lanatus,NA,14/08/2022,Parton,,
282,J54106066,Puccinellia maritima,NA,14/08/2022,Parton,,
283,J55066042,Potentilla anserina,NA,21/08/2022,Little Minnis Pond,,
284,J55066042,Sonchus asper,NA,21/08/2022,Little Minnis Pond,,
285,J55066042,Matricaria discoidea,NA,21/08/2022,Little Minnis Pond,,
286,J55066042,Sagina procumbens,NA,21/08/2022,Little Minnis Pond,,
287,J55066042,Poa annua,NA,21/08/2022,Little Minnis Pond,,
288,J55066042,Odontites vernus,NA,21/08/2022,Little Minnis Pond,,
289,J55066042,Persicaria lapathifolia,NA,21/08/2022,Little Minnis Pond,,
290,J55066042,Persicaria maculosa,NA,21/08/2022,Little Minnis Pond,,
291,J55066042,Persicaria hydropiper,NA,21/08/2022,Little Minnis Pond,,
292,J55066042,Epilobium sp.,NA,21/08/2022,Little Minnis Pond,,
293,J55066042,Veronica chamaedrys,NA,21/08/2022,Little Minnis Pond,,
294,J55066042,Stellaria media,NA,21/08/2022,Little Minnis Pond,,
295,J55066042,Gnaphalium uliginosum,NA,21/08/2022,Little Minnis Pond,,
296,J55066042,Cerastium fontanum,NA,21/08/2022,Little Minnis Pond,,
297,J55066042,Juncus effusus,NA,21/08/2022,Little Minnis Pond,,
298,J55046036,?Juncus acutiflorus agg.,NA,21/08/2022,Little Minnis,,
299,J55126034,Lotus corniculatus,NA,21/08/2022,Little Minnis,,
300,J55106038,Rorippa palustris,NA,21/08/2022,Little Minnis,,
301,J55106038,Odontites vernus,NA,21/08/2022,Little Minnis,,
302,J55106038,Epilobium sp.,NA,21/08/2022,Little Minnis,,
303,J55106038,Tripleurospermum maritimum,NA,21/08/2022,Little Minnis,,
304,J55106038,Potentilla anserina,NA,21/08/2022,Little Minnis,,
305,J55106038,Matricaria discoidea,NA,21/08/2022,Little Minnis,,
,J55106038,Persicaria hydropiper,NA,21/08/2022,Little Minnis,,
306,J55106038,Persicaria maculosa,NA,21/08/2022,Little Minnis,,
307,J55096039,Achillea ptarmica,NA,21/08/2022,Little Minnis,,
308,J55066040,Geranium molle,NA,21/08/2022,Little Minnis,,
309,J55066040,Cerastium fontanum,NA,21/08/2022,Little Minnis,,
310,J55066040,Veronica chamaedrys,NA,21/08/2022,Little Minnis,,
311,J55066040,Heracleum sphondylium,NA,21/08/2022,Little Minnis,,
312,J55066041,Sisymbrium officinale,NA,21/08/2022,Little Minnis,,
313,J55066041,Rumex acetosa,NA,21/08/2022,Little Minnis,,
314,J55066041,Cirsium vulgare,NA,21/08/2022,Little Minnis,,
315,J55026047,Tripleurospermum maritimum,NA,21/08/2022,Little Minnis,,
316,J55026047,Cochlearia officinalis,NA,21/08/2022,Little Minnis,,
317,J55026047,Achillea millefolium,NA,21/08/2022,Little Minnis,,
318,J55026047,Plantago lanceolata,NA,21/08/2022,Little Minnis,,
319,J55026047,Festuca rubra,NA,21/08/2022,Little Minnis,,
320,J55026047,Atriplex prostrata agg.,NA,21/08/2022,Little Minnis,,
321,J55026047,Rumex crispus,NA,21/08/2022,Little Minnis,,
322,J55026047,Odontites vernus,NA,21/08/2022,Little Minnis,,
323,J55026047,Arrhenatherum elatius,NA,21/08/2022,Little Minnis,,
324,J55026047,Cerastium fontanum,NA,21/08/2022,Little Minnis,,
325,J55026047,Centaurea nigra,NA,21/08/2022,Little Minnis,,
326,J55026047,Cirsium vulgare,NA,21/08/2022,Little Minnis,,
327,J55026047,Beta vulgaris subsp. maritima,NA,21/08/2022,Little Minnis,,
328,J55026047,?Elytrigia atherica,NA,21/08/2022,Little Minnis,,
329,J55026047,?Poaceae,NA,21/08/2022,Little Minnis,,
330,J55026047,Dactylis glomerata,NA,21/08/2022,Little Minnis,,
331,J55016042,Holcus lanatus,8,21/08/2022,Little Minnis,,
332,J55016042,Heracleum sphondylium,7,21/08/2022,Little Minnis,,
333,J55016042,Veronica chamaedrys,5,21/08/2022,Little Minnis,,
334,J55016042,Centaurea nigra,5,21/08/2022,Little Minnis,,
335,J55016042,Rumex acetosa,4,21/08/2022,Little Minnis,,
336,J55016042,Stellaria graminea,3,21/08/2022,Little Minnis,,
337,J55016042,Cerastium fontanum,2,21/08/2022,Little Minnis,,
338,J55016042,Achillea millefolium,4,21/08/2022,Little Minnis,,
339,J55016042,Trifolium repens,4,21/08/2022,Little Minnis,,
340,J55016042,Plantago lanceolata,5,21/08/2022,Little Minnis,,
341,J55016042,Arrhenatherum elatius,6,21/08/2022,Little Minnis,,
342,J55016042,Trifolium pratense,4,21/08/2022,Little Minnis,,
343,J55016042,Dactylis glomerata,2,21/08/2022,Little Minnis,,
344,J55046036,Oenanthe crocata,8,21/08/2022,Little Minnis,,
345,J55046036,Heracleum sphondylium,6,21/08/2022,Little Minnis,,
346,J55046036,Arrhenatherum elatius,6,21/08/2022,Little Minnis,,
347,J55046036,Achillea ptarmica,5,21/08/2022,Little Minnis,,
348,J55046036,Holcus lanatus,5,21/08/2022,Little Minnis,,
349,J55046036,Centaurea nigra,5,21/08/2022,Little Minnis,,
350,J55046036,!?Holcus mollis,4,21/08/2022,Little Minnis,,
351,J55046036,Trifolium pratense,3,21/08/2022,Little Minnis,,
352,J55046036,Lathyrus pratensis,2,21/08/2022,Little Minnis,,
353,J55046036,Cerastium fontanum,2,21/08/2022,Little Minnis,,
354,J55046036,Achillea millefolium,1,21/08/2022,Little Minnis,,
355,J55046036,Plantago lanceolata,1,21/08/2022,Little Minnis,,
356,J55046036,Ranunculus repens,1,21/08/2022,Little Minnis,,
357,J55046036,Tripleurospermum maritimum,1,21/08/2022,Little Minnis,,
358,J55046036,Rumex acetosa,1,21/08/2022,Little Minnis,,
359,J55046036,?Juncus acutiflorus agg.,0,21/08/2022,Little Minnis,,
360,J55046036,Potentilla anserina,7,21/08/2022,Little Minnis,,
361,J55046036,Lathyrus pratensis,4,21/08/2022,Little Minnis,,
362,J55046036,?Juncus acutiflorus agg.,5,21/08/2022,Little Minnis,,
363,J55046036,Oenanthe crocata,5,21/08/2022,Little Minnis,,
364,J55046036,Centaurea nigra,8,21/08/2022,Little Minnis,,
365,J55046036,Holcus lanatus,7,21/08/2022,Little Minnis,,
366,J55046036,Arrhenatherum elatius,7,21/08/2022,Little Minnis,,
367,J55046036,Achillea ptarmica,4,21/08/2022,Little Minnis,,
368,J55046036,Stellaria graminea,2,21/08/2022,Little Minnis,,
369,J55046036,Sonchus arvensis,2,21/08/2022,Little Minnis,,
370,J55046036,Festuca rubra,5,21/08/2022,Little Minnis,,
371,J55046036,Trifolium repens,3,21/08/2022,Little Minnis,,
372,J55046036,Cerastium fontanum,2,21/08/2022,Little Minnis,,
373,J55046036,Plantago lanceolata,3,21/08/2022,Little Minnis,,
374,J55046036,Ranunculus repens,1,21/08/2022,Little Minnis,,
375,J55046036,Tripleurospermum maritimum,1,21/08/2022,Little Minnis,,
376,J55056035,Cirsium arvense,NA,21/08/2022,Little Minnis,,
377,J55126038,Urtica dioica,NA,21/08/2022,Little Minnis,,
378,J55096043,?yellow Asteraceae,NA,21/08/2022,Little Minnis,,
379,J55066040,Achillea ptarmica,NA,21/08/2022,Little Minnis,,
